,trim_id,model_id,invoice,price
266,834,151,63135,67350
267,838,152,93315,99800
268,837,152,70155,74900
269,840,153,59740,63700
270,839,153,46905,49900
271,842,17,54473,57100
272,846,17,52565,55100
273,841,17,40831,42800
274,844,17,42739,44800
275,843,17,49417,51800
276,845,17,47509,49800
277,847,154,23714,24600
278,848,154,24312,25220
279,849,18,29498,30600
280,850,18,27956,29000
281,852,18,23329,24200
282,853,18,25257,26200
283,851,18,24871,25800
284,854,18,26799,27800
285,855,19,40259,42200
286,856,19,38542,40400
287,859,19,36061,37800
288,860,19,34344,36000
289,857,19,30337,31800
290,858,19,32054,33600
291,862,20,32010,33695
292,864,20,36665,38595
293,863,20,37805,39795
294,861,20,43600,45895
295,865,155,56045,58995
296,866,21,35430,37295
297,868,21,39705,41795
298,867,21,40845,42995
299,869,21,47590,50095
300,870,156,79795,83995
301,871,22,72480,76295
302,875,22,75330,79295
303,874,22,83500,87895
304,879,22,80650,84895
305,873,22,96515,101595
306,877,22,99365,104595
307,872,22,86065,90595
308,876,22,83215,87595
309,878,22,96515,101595
310,880,22,99365,104595
311,883,23,75330,79295
312,890,23,78180,82295
313,881,23,83500,87895
314,889,23,86350,90895
315,886,23,102215,107595
316,887,23,99365,104595
317,884,23,88915,93595
318,885,23,86065,90595
319,882,23,99365,104595
320,888,23,102215,107595
321,892,25,36380,38295
322,893,25,34005,35795
323,891,25,40180,42295
324,894,25,37805,39795
325,895,25,40275,42395
326,896,25,37900,39895
327,899,26,43695,45995
328,900,26,41795,43995
329,897,26,48255,50795
330,901,26,46355,48795
331,898,26,53100,55895
332,904,27,48065,50595
333,905,27,46165,48595
334,902,27,52245,54995
335,903,27,50345,52995
336,906,27,55380,58295
337,912,157,31864,33400
338,913,157,34439,36100
339,909,157,38446,40300
340,911,157,35870,37600
341,910,157,39209,41100
342,914,157,41976,44000
343,907,157,41976,44000
344,908,157,39209,41100
345,915,28,33000,33000
346,916,28,37500,37500
347,917,29,31000,31000
348,918,29,34200,34200
349,919,158,24100,25000
350,925,158,24582,25500
351,926,158,30366,31500
352,921,158,36150,37500
353,932,158,41934,43500
354,920,158,26510,27500
355,928,158,32294,33500
356,929,158,40970,42500
357,930,158,46754,48500
358,931,158,36150,37500
359,933,158,30366,31500
360,922,158,38560,40000
361,927,158,32776,34000
362,923,158,66516,69000
363,924,158,60732,63000
364,951,159,28334,29700
365,950,159,26426,27700
366,949,159,33676,35300
367,948,159,29956,31400
368,945,159,32818,34400
369,944,159,30433,31900
370,943,159,24293,25200
371,947,159,28052,29100
372,946,159,30623,32100
373,934,159,25853,27100
374,942,159,31482,33000
375,941,159,28048,29400
376,940,159,36824,38600
377,939,159,36252,38000
378,938,159,34821,36500
379,937,159,33199,34800
380,936,159,40640,42600
381,935,159,42167,44200
382,952,30,63886,68400
383,953,30,68042,72850
384,954,30,63699,68200
385,955,30,70237,75200
386,956,30,56881,60900
387,957,30,74580,79850
388,962,160,24613,25800
389,963,160,26140,27400
390,968,160,26330,27600
391,969,160,24804,26000
392,959,160,27189,28500
393,961,160,25663,26900
394,966,160,26044,27300
395,967,160,27571,28900
396,958,160,31100,32600
397,960,160,29574,31000
398,964,160,30242,31700
399,965,160,28715,30100
400,970,161,34745,37200
401,971,161,35866,38400
402,975,161,36613,39200
403,972,161,36656,39300
404,973,161,38160,40900
405,974,161,37413,40100
406,977,162,32597,34900
407,979,162,30822,33000
408,976,162,34465,36900
409,978,162,33717,36100
410,983,163,22558,23400
411,984,163,22558,23400
412,981,163,25835,26800
413,980,163,32294,33500
414,982,163,23522,24400
415,1035,165,40988,43100
416,1038,165,41939,44100
417,1039,165,38801,40800
418,1040,165,44222,46500
419,1041,165,44507,46800
420,1037,165,46314,48700
421,1036,165,46599,49000
422,1031,165,58813,62500
423,1032,165,59095,62800
424,1033,165,55519,59000
425,1027,165,45356,48200
426,1042,165,47615,50600
427,1046,165,44509,47300
428,1047,165,42251,44900
429,1048,165,44792,47600
430,1049,165,47897,50900
431,1056,165,46485,49400
432,1057,165,44227,47000
433,1030,165,51285,54500
434,1021,165,51567,54800
435,1023,165,54108,57500
436,1024,165,50720,53900
437,1029,165,53825,57200
438,1026,165,50249,53400
439,1025,165,49967,53100
440,1028,165,46862,49800
441,1022,165,46203,49100
442,1043,165,32482,33800
443,1044,165,38824,40400
444,1045,165,38248,39800
445,1050,165,36902,38400
446,1051,165,37960,39500
447,1052,165,37095,38600
448,1053,165,35653,37100
449,1054,165,41419,43100
450,1055,165,41131,42800
451,1020,165,32674,34000
452,1034,165,63612,67600
453,1005,164,41464,43600
454,1004,164,35758,37600
455,1013,164,38896,40900
456,1014,164,37945,39900
457,1015,164,41178,43300
458,1010,164,42985,45200
459,1017,164,43271,45500
460,985,164,54766,58200
461,1008,164,55049,58500
462,994,164,51473,54700
463,995,164,44227,47000
464,996,164,38863,41300
465,997,164,44509,47300
466,999,164,41404,44000
467,1009,164,41969,44600
468,988,164,41122,43700
469,1018,164,40369,42900
470,1019,164,42627,45300
471,991,164,49403,52500
472,987,164,49685,52800
473,986,164,50344,53500
474,990,164,47238,50200
475,989,164,50626,53800
476,1006,164,42910,45600
477,1007,164,46956,49900
478,993,164,46674,49600
479,992,164,43568,46300
480,1003,164,33635,35000
481,1002,164,35557,37000
482,1001,164,36134,37600
483,1011,164,29214,30400
484,1012,164,35269,36700
485,1000,164,38440,40000
486,998,164,32962,34300
487,1016,164,38728,40300
488,1093,166,42097,44500
489,1092,166,41908,44300
490,1082,166,40394,42700
491,1066,166,39259,41500
492,1067,166,40205,42500
493,1068,166,39448,41700
494,1069,166,37745,39900
495,1083,166,37556,39700
496,1071,166,59249,63300
497,1073,166,59062,63100
498,1070,166,43056,46000
499,1081,166,41371,44200
500,1080,166,39499,42200
501,1078,166,40435,43200
502,1077,166,36878,39400
503,1086,166,41558,44400
504,1087,166,38938,41600
505,1072,166,38750,41400
506,1089,166,43243,46200
507,1091,166,40622,43400
508,1095,166,48204,51500
509,1088,166,46519,49700
510,1090,166,46332,49500
511,1094,166,50825,54300
512,1079,166,48017,51300
513,1076,166,50638,54100
514,1075,166,48953,52300
515,1074,166,49140,52500
516,1084,166,38502,40700
517,1085,166,33394,35300
518,1065,166,35664,37700
519,1064,166,40016,42300
520,1063,166,40205,42500
521,1062,166,37367,39500
522,1061,166,36043,38100
523,1060,166,38313,40500
524,1059,166,37556,39700
525,1058,166,35853,37900
526,1096,167,60185,64300
527,1099,167,61495,65700
528,1103,167,60372,64500
529,1127,167,44179,47200
530,1120,167,44366,47400
531,1121,167,45490,48600
532,1123,167,41558,44400
533,1124,167,41184,44000
534,1109,167,39125,41800
535,1108,167,42682,45600
536,1125,167,40622,43400
537,1126,167,41746,44600
538,1128,167,40061,42800
539,1129,167,43805,46800
540,1130,167,42869,45800
541,1131,167,38002,40600
542,1132,167,41746,44600
543,1097,167,50450,53900
544,1115,167,49140,52500
545,1098,167,53071,56700
546,1100,167,51761,55300
547,1101,167,49327,52700
548,1102,167,51948,55500
549,1110,167,41151,43500
550,1104,167,38691,40900
