,model_id,model_name,make_id
0,97,ILX,1
1,2,MDX,1
2,98,NSX,1
3,99,RDX,1
4,100,TLX,1
5,101,GIULIA,24
6,102,STELVIO,24
7,103,A3,2
8,104,A4,2
9,105,A4 ALLROAD,2
10,3,A5,2
11,106,A6,2
12,107,A6 ALLROAD,2
13,108,A7,2
14,109,A8,2
15,4,E-TRON,2
16,110,E-TRON GT,2
17,5,E-TRON S,2
18,112,E-TRON S SPORTBACK,2
19,111,E-TRON SPORTBACK,2
20,6,Q3,2
21,113,Q4 E-TRON,2
22,114,Q4 SPORTBACK E-TRON,2
23,7,Q5,2
24,115,Q5 SPORTBACK,2
25,116,Q7,2
26,8,Q8,2
27,117,R8,2
28,118,RS 3,2
29,119,RS 5,2
30,120,RS 6,2
31,121,RS 7,2
32,122,RS E-TRON GT,2
33,123,RS Q8,2
34,124,S3,2
35,125,S4,2
36,126,S5,2
37,127,S6,2
38,128,S7,2
39,129,S8,2
40,130,SQ5,2
41,131,SQ5 SPORTBACK,2
42,132,SQ7,2
43,133,SQ8,2
44,134,TT,2
45,135,TT RS,2
46,136,TTS,2
47,137,BENTAYGA,25
48,138,CONTINENTAL,25
49,139,FLYING SPUR,25
50,140,2 SERIES,3
51,141,2 SERIES GRAN COUPE,3
52,9,3 SERIES,3
53,10,4 SERIES,3
54,11,4 SERIES GRAN COUPE,3
55,142,5 SERIES,3
56,143,7 SERIES,3
57,12,8 SERIES,3
58,13,8 SERIES GRAN COUPE,3
59,144,ALPINA B7,3
60,14,ALPINA B8 GRAN COUPE,3
61,145,ALPINA XB7,3
62,146,I4,3
63,15,IX,3
64,147,X1,3
65,16,X2,3
66,148,X3,3
67,149,X4,3
68,150,X5,3
69,151,X6,3
70,152,X7,3
71,153,Z4,3
72,17,ENCLAVE,4
73,154,ENCORE,4
74,18,ENCORE GX,4
75,19,ENVISION,4
76,20,CT4,5
77,155,CT4-V BLACKWING,5
78,21,CT5,5
79,156,CT5-V BLACKWING,5
80,22,ESCALADE,5
81,23,ESCALADE ESV,5
82,25,XT4,5
83,26,XT5,5
84,27,XT6,5
85,157,BLAZER,6
86,28,BOLT EUV,6
87,29,BOLT EV,6
88,158,CAMARO,6
89,159,COLORADO,6
90,30,CORVETTE,6
91,160,EQUINOX,6
92,161,EXPRESS,6
93,162,EXPRESS CARGO,6
94,163,MALIBU,6
95,165,SILVERADO 1500,6
96,164,SILVERADO 1500 LIMITED,6
97,166,SILVERADO 2500HD,6
98,167,SILVERADO 3500HD,6
99,168,SPARK,6
100,31,SUBURBAN,6
101,32,TAHOE,6
102,33,TRAILBLAZER,6
103,34,TRAVERSE,6
104,169,TRAX,6
105,170,300,26
106,171,PACIFICA,26
107,172,VOYAGER,26
108,173,CHALLENGER,27
109,174,CHARGER,27
110,175,DURANGO,27
111,176,500X,28
112,177,BRONCO,29
113,178,BRONCO SPORT,29
114,183,E-TRANSIT CARGO VAN,29
115,179,ECOSPORT,29
116,180,EDGE,29
117,181,ESCAPE,29
118,182,ESCAPE PLUG-IN HYBRID,29
119,184,EXPEDITION,29
120,185,EXPLORER,29
121,186,F-150,29
122,187,F-150 LIGHTNING,29
123,188,F-250 SUPER DUTY,29
124,189,F-350 SUPER DUTY,29
125,190,F-450 SUPER DUTY,29
126,191,MAVERICK,29
127,192,MUSTANG,29
128,193,MUSTANG MACH-E,29
129,194,RANGER,29
130,195,SHELBY GT500,29
131,196,TRANSIT CARGO VAN,29
132,197,TRANSIT CONNECT CARGO VAN,29
133,198,TRANSIT CONNECT PASSENGER WAGON,29
134,199,TRANSIT CREW VAN,29
135,200,TRANSIT PASSENGER VAN,29
136,35,G70,7
137,201,G80,7
138,202,G90,7
139,37,GV70,7
140,38,GV80,7
141,39,ACADIA,8
142,203,CANYON,8
143,204,HUMMER EV,8
144,205,SAVANA,8
145,206,SAVANA CARGO,8
146,207,SIERRA 1500,8
147,208,SIERRA 1500 LIMITED,8
148,209,SIERRA 2500HD,8
149,210,SIERRA 3500HD,8
150,211,TERRAIN,8
151,212,YUKON,8
152,213,YUKON XL,8
153,214,ACCORD,9
154,215,ACCORD HYBRID,9
155,216,CIVIC,9
156,217,CR-V,9
157,218,CR-V HYBRID,9
158,40,HR-V,9
159,219,INSIGHT,9
160,41,ODYSSEY,9
161,220,PASSPORT,9
162,221,PILOT,9
163,222,RIDGELINE,9
164,223,ACCENT,10
165,42,ELANTRA,10
166,224,IONIQ 5,10
167,225,IONIQ HYBRID,10
168,226,IONIQ PLUG-IN HYBRID,10
169,227,KONA,10
170,228,KONA ELECTRIC,10
171,229,NEXO,10
172,43,PALISADE,10
173,230,SANTA CRUZ,10
174,44,SANTA FE,10
175,231,SANTA FE HYBRID,10
176,232,SANTA FE PLUG-IN HYBRID,10
177,233,SONATA,10
178,234,SONATA HYBRID,10
179,235,TUCSON,10
180,236,TUCSON PLUG-IN HYBRID,10
181,237,VELOSTER,10
182,238,VENUE,10
183,45,Q50,11
184,239,Q60,11
185,240,QX50,11
186,46,QX55,11
187,241,QX60,11
188,242,QX80,11
189,47,E-PACE,12
190,48,F-PACE,12
191,49,F-TYPE,12
192,50,I-PACE,12
193,51,XF,12
194,243,CHEROKEE,30
195,244,COMPASS,30
196,245,GLADIATOR,30
197,246,GRAND CHEROKEE,30
198,247,GRAND CHEROKEE 4XE,30
199,248,GRAND CHEROKEE L,30
200,249,GRAND CHEROKEE WK,30
201,250,GRAND WAGONEER,30
202,251,RENEGADE,30
203,252,WAGONEER,30
204,253,WRANGLER,30
205,254,WRANGLER 4XE,30
206,255,GS-6,31
207,52,CARNIVAL,13
208,256,EV6,13
209,53,FORTE,13
210,54,K5,13
211,257,NIRO,13
212,258,NIRO EV,13
213,259,NIRO PLUG-IN HYBRID,13
214,260,RIO,13
215,55,SELTOS,13
216,261,SORENTO,13
217,262,SORENTO HYBRID,13
218,263,SORENTO PLUG-IN HYBRID,13
219,56,SOUL,13
220,57,SPORTAGE,13
221,59,STINGER,13
222,264,TELLURIDE,13
223,265,HURACAN,32
224,266,URUS,32
225,60,DEFENDER,14
226,61,DISCOVERY,14
227,62,DISCOVERY SPORT,14
228,63,RANGE ROVER,14
229,64,RANGE ROVER EVOQUE,14
230,267,RANGE ROVER SPORT,14
231,65,RANGE ROVER VELAR,14
232,268,ES,33
233,269,GX,33
234,270,IS,33
235,271,LC,33
236,272,LS,33
237,273,LX,33
238,274,NX,33
239,275,RC,33
240,276,RX,33
241,277,UX,33
242,66,AVIATOR,15
243,278,CORSAIR,15
244,279,NAUTILUS,15
245,280,NAVIGATOR,15
246,281,AIR,34
247,282,GHIBLI,35
248,283,LEVANTE,35
249,284,MC20,35
250,285,QUATTROPORTE,35
251,286,3,16
252,287,CX-30,16
253,288,CX-5,16
254,289,CX-9,16
255,290,MX-30,16
256,291,MX-5 MIATA,16
257,292,MX-5 MIATA RF,16
258,293,720S,36
259,294,720S SPIDER,36
260,295,765LT SPIDER,36
261,296,ARTURA,36
262,297,GT,36
263,298,A-CLASS,37
264,299,AMG GT,37
265,300,C-CLASS,37
266,301,CLA-CLASS,37
267,302,CLS-CLASS,37
268,303,E-CLASS,37
269,304,EQS,37
270,305,GLA-CLASS,37
271,306,GLB-CLASS,37
272,307,GLC-CLASS,37
273,308,GLC-CLASS COUPE,37
274,309,GLE-CLASS,37
275,310,GLE-CLASS COUPE,37
276,311,GLS-CLASS,37
277,312,MAYBACH,37
278,313,MAYBACH GLS,37
279,314,METRIS,37
280,315,S-CLASS,37
281,316,SL-CLASS,37
282,317,SPRINTER,37
283,68,CLUBMAN,17
284,69,CONVERTIBLE,17
285,70,COUNTRYMAN,17
286,71,HARDTOP 2 DOOR,17
287,72,HARDTOP 4 DOOR,17
288,73,ECLIPSE CROSS,18
289,318,MIRAGE,18
290,319,MIRAGE G4,18
291,320,OUTLANDER,18
292,321,OUTLANDER PHEV,18
293,322,OUTLANDER SPORT,18
294,323,ALTIMA,19
295,324,ARMADA,19
296,325,FRONTIER,19
297,326,KICKS,19
298,74,LEAF,19
299,327,MAXIMA,19
300,328,MURANO,19
301,329,PATHFINDER,19
302,330,ROGUE,19
303,331,ROGUE SPORT,19
304,332,SENTRA,19
305,333,TITAN,19
306,334,TITAN XD,19
307,335,VERSA,19
308,76,2,20
309,336,718 BOXSTER,38
310,337,718 CAYMAN,38
311,338,911,38
312,339,CAYENNE,38
313,340,CAYENNE COUPE,38
314,341,MACAN,38
315,342,PANAMERA,38
316,343,TAYCAN,38
317,344,1500,39
318,347,1500 CLASSIC,39
319,345,2500,39
320,346,3500,39
321,348,PROMASTER CARGO VAN,39
322,349,PROMASTER CITY,39
323,350,PROMASTER WINDOW VAN,39
324,351,R1T,40
325,352,CULLINAN,41
326,353,ASCENT,21
327,77,BRZ,21
328,78,CROSSTREK,21
329,354,FORESTER,21
330,79,IMPREZA,21
331,80,LEGACY,21
332,81,OUTBACK,21
333,355,WRX,21
334,356,MODEL 3,42
335,357,MODEL S,42
336,358,MODEL X,42
337,359,MODEL Y,42
338,360,4RUNNER,22
339,361,AVALON,22
340,362,AVALON HYBRID,22
341,363,C-HR,22
342,84,CAMRY,22
343,85,CAMRY HYBRID,22
344,364,COROLLA,22
345,365,COROLLA CROSS,22
346,366,COROLLA HATCHBACK,22
347,367,COROLLA HYBRID,22
348,368,GR SUPRA,22
349,86,GR86,22
350,369,HIGHLANDER,22
351,370,HIGHLANDER HYBRID,22
352,371,MIRAI,22
353,372,PRIUS,22
354,373,PRIUS PRIME,22
355,374,RAV4,22
356,375,RAV4 HYBRID,22
357,376,RAV4 PRIME,22
358,377,SEQUOIA,22
359,378,SIENNA,22
360,379,TACOMA,22
361,380,TUNDRA,22
362,381,VENZA,22
363,382,ARTEON,43
364,383,ATLAS,43
365,384,ATLAS CROSS SPORT,43
366,385,GOLF GTI,43
367,386,GOLF R,43
368,387,ID.4,43
369,388,JETTA,43
370,389,JETTA GLI,43
371,390,PASSAT,43
372,391,TAOS,43
373,392,TIGUAN,43
374,393,C40 RECHARGE,23
375,88,S60,23
376,89,S90,23
377,90,V60,23
378,91,V60 CROSS COUNTRY,23
379,92,V90 CROSS COUNTRY,23
380,93,XC40,23
381,394,XC40 RECHARGE,23
382,94,XC40 RECHARGE TWIN PURE ELECTRIC,23
383,95,XC60,23
384,96,XC90,23
