,trim_id,model_id,invoice,price
1203,4687,217,29955,31950
1204,4692,217,28551,30450
1205,4685,217,24169,25350
1206,4686,217,25596,26850
1207,4693,217,25311,26550
1208,4694,217,26738,28050
1209,4688,217,31026,33650
1210,4691,217,32407,35150
1211,4696,218,28654,30560
1212,4697,218,31078,33150
1213,4695,218,33511,36350
1214,4700,40,24389,25720
1215,4701,40,22969,24220
1216,4699,40,24438,25820
1217,4702,40,25903,27320
1218,4698,40,20049,21020
1219,4703,40,21477,22520
1220,4704,40,23206,24470
1221,4705,40,21786,22970
1222,4706,40,27361,29340
1223,4708,219,23044,24810
1224,4707,219,21304,22930
1225,4709,219,26775,28840
1226,4711,41,43823,47820
1227,4713,41,32806,35190
1228,4712,41,35850,38460
1229,4710,41,30296,31790
1230,4714,41,38953,42500
1231,4721,220,40491,44180
1232,4716,220,34314,36810
1233,4719,220,36175,38810
1234,4715,220,30572,32790
1235,4718,220,32434,34790
1236,4717,220,38203,41680
1237,4720,220,36372,39680
1238,4728,221,45881,50220
1239,4732,221,44513,48720
1240,4731,221,32208,35230
1241,4733,221,34033,37230
1242,4723,221,37161,40660
1243,4730,221,35337,38660
1244,4722,221,29764,32550
1245,4725,221,31588,34550
1246,4734,221,37708,41260
1247,4735,221,35884,39260
1248,4724,221,39770,43520
1249,4726,221,41320,45220
1250,4727,221,39496,43220
1251,4729,221,41594,45520
1252,4738,222,40253,43920
1253,4739,222,36790,39470
1254,4737,222,38880,42420
1255,4736,222,34016,36490
1256,4743,223,18929,19500
1257,4740,223,15024,15395
1258,4741,223,16080,16495
1259,4742,223,17267,17750
1260,4749,42,22622,23550
1261,4748,42,24446,25450
1262,4750,42,26990,28100
1263,4746,42,23150,24100
1264,4747,42,24206,25200
1265,4744,42,19075,19650
1266,4745,42,20078,20900
1267,4752,402,36903,38815
1268,4751,402,31999,33245
1269,4753,225,22665,23400
1270,4756,225,29938,31400
1271,4754,225,24249,25350
1272,4755,225,27298,28600
1273,4759,226,31589,33150
1274,4757,226,25780,26700
1275,4758,226,28348,29700
1276,4764,227,25157,26300
1277,4770,227,26495,27700
1278,4763,227,25061,26200
1279,4769,227,26400,27600
1280,4760,227,19899,20500
1281,4766,227,21257,21900
1282,4761,227,21333,22300
1283,4767,227,22671,23700
1284,4762,227,23101,24150
